,title,salary,jobtype,location,description
2638,Cloud Infrastructure Engineer,,100% Remote Job,"Toronto, ON, Canada","
            Seeking a cloud infrastructure engineer for a work-at-home position. Develop cloud infrastructure, improve monitoring, and lead technical discussions. Need to have five-plus yrs' exp. as a software engineer and a degree in CS is preferred. 
        "
2639,Student Advisor,,100% Remote Job,"Phoenix, AZ","
            Make outbound calls to prospective students and learn of their interests and goals, articulate features and value and connect with resources relating to the program. 2+ years of relevant work experience is needed. Work at home opportunity. 
        "
2640,Product Marketing Manager - Commercial,,Partial Remote Job,"Oxford, United Kingdom","
            Remote, full-time. Collaborate with teams to determine marketing strategy, create content across multiple channels, manage product launches, and maintain library of sales tools. Requires 5+ years' marketing experience and MA, plus occasional travel.
        "
2641,Staff Software Engineer,,Option for Remote Job,US National,"
            Software engineer needed for a remote option position requiring seven+ years' experience with software engineering, strong programming skills, an understanding of Ruby and Java, and strong problem-solving. Computer-focused BA/BS a plus. 
        "
2642,Senior Consultant - Customer Relationship Management,,Option for Remote Job,US National,"
            Remote position will develop business relationships with clients, present project vision/strategy to clients, drive transformation/innovation, and assist business development with project requirements. BA degree required and three years of experience. 
        "
2643,"Senior Consultant, Information Technology Architecture",,Option for Remote Job,"CA, TX, NY, IL, MA","
            Remote position will guide teams, to assist in managing the entire product life cycle, champion software engineering process improvement initiatives, define/introduce industry-standard practices, and processes. BS degree required and fifteen years of exp.
        "
2644,Senior Software Engineer - Infrastructure,,100% Remote Job,Work from Anywhere,"
            Remote position. Build and maintain back-end infrastructure, improve existing systems, write and review code across teams, and support automation of services. Requires BA, 3 years' experience, programming proficiency, and communication skills.
        "
2645,Pre-Sales Engineer,,Option for Remote Job,"London, United Kingdom","
            Help clients evaluate business need and identify technical solutions. Requires a bachelor's degree, strong client-interaction skills, troubleshooting skills, and 2+ years' experience. Full-time role with flexible hours, benefits, &amp; remote options. 
        "
2646,Senior Interaction Designer,,100% Remote Job,US National,"
            Remote job for candidate who will develop user interface design including screen layout and investigation, user interface functionality, user notifications, alerts, and icons, and be the end user advocate. Two years' medical devices exp. preferred.
        "
2647,C++ Developer,,Option for Remote Job,"Prague, Czech Republic, Brno, Czech Republic","
            Software developer will work on an antivirus program for Windows. Must have advanced C/C++ skills, experience working with Git, and experience debugging code. Flexible schedule, remote working options. 
        "
2648,"Senior Product Manager, Platform",,Option for Remote Job,US National,"
            Optional remote job for candidate who will lead the vision, strategy, and execution for company products, build strategic relationships with internal product consumers, and synthesize research into clear product strategy. Product management exp. req.
        "
2649,Technical Account Manager,,Partial Remote Job,"Lisbon, Portugal","
            Seeking technical account manager for full-time, remote position. Preferred qualifications include two or more years of experience in a client-facing role, software development skills, and a 4-year degree from an accredited university.
        "
2650,Senior Product Manager,,100% Remote Job,US National,"
            Full-time, remote position. Responsibilities include leading &amp; defining a product strategy &amp; vision, delivering high-impact features &amp; products, identifying trends &amp; opportunities, and leading teams through the development process. Bachelor's required. 
        "
2651,Customer Practice Manager,,Partial Remote Job,US National,"
            Full-time partial remote role. He/she will build client relationships, manage teams, develop programs, develop technology roadmap, and develops long-term cloud strategy. Some travel. BA/BS degree &amp; 15+ years' IT consulting/management experience required. 
        "
2652,Customer Success Technical Strategist,,Partial Remote Job,US National,"
            Partial remote position will suggest process changes, product adoption, configuration/additional features, drive adoption for the product, deliver/lead bi-annual roadmap sessions with customers, and provide input. BA degree required and five years of exp.
        "
2653,Account Coordinator,,100% Remote Job,"New York, NY","
            Full-time, remote position. Responsibilities include optimizing advertising on Amazon, managing client relationships, prioritizing tasks, and maintaining updated knowledge of the competitive landscape &amp; new features. Bachelor's degree required.
        "
2654,"Consultant, Strategy and Transformation",,Partial Remote Job,"Chicago, IL, or US National","
            Full-time partial remote role. He/she will be responsible for development and delivery of custom security solutions. Will manage development of all deliverables and work products. Bachelor's degree and 1+ year of relevant experience required. 
        "
2655,"Senior Consultant, Strategy and Transformation",,Partial Remote Job,"Chicago, IL, or US National","
            Full-time partial remote role. He/she will manage the development and delivery of custom security solutions. He/she will manage development of deliverables and work products and guide junior staff. Bachelor's degree and 3+ years' experience required. 
        "
2656,"Software Configuration Specialist, Clinical",,Option for Remote Job,"Canada, or US National","
            Full-time position. Will troubleshoot issues, document projects, serve as point of contact, update databases and provide status updates. Bachelor's degree and related experience required. Telecommute option. 
        "
2657,Customer Success Manager,,100% Remote Job,"Bulgaria, Croatia, Cyprus, Czech Republic, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom","
            The manager will create customer success processes, serve as a trusted advisor to customers, &amp; drive customer retention. Must have one or more years' customer-facing or customer success experience. This is a WFH role with occasional travel in the future.
        "
2658,Staff - Senior Auditor - Consumer Compliance,,Remote - During Pandemic Job,"New York, NY, Phoenix, AZ, Salt Lake City, UT","
            Temporarily remote role with travel required. Candidate will support managers in executing established audit methodologies, manage audit requests, and document ideas for analytical control testing. Must have exp. in the assessment of risks and controls. 
        "
2659,IT Technical Analyst,,100% Remote Job,"Chicago, IL","
            Full-time, remote position. Duties include providing project oversight, planning, status, &amp; communications, conducting system analyses on software programs, applications, &amp; web services, and generating reports &amp; documentation. Bachelor's preferred.
        "
2660,Fullstack Engineer,,100% Remote Job,US National,"
            The fullstack engineer will give technical leadership, build features, develop the platform's core parts, and help modernize the company's application. At least three years' exp. in a production environment is required. This is a fully remote position.
        "
2661,Product Owner,,Partial Remote Job,"Munich, Germany","
            Partial remote position will incorporate feature requests into product roadmap, groom/prioritize backlog, develop user stories/define acceptance criteria, set sprint goals, plan releases, and upgrades. BS degree required and work experience. 
        "
2662,Senior Technical Trainer,,Partial Remote Job,"IL, IN, MI, MN, NY, OH, PA, WI","
            Full-time partial remote role will provide instructor-led classroom training to customers and partners, develop technical training content and presentations, and design Train-the-Trainer program. Travel 50%. Technical degree and 4+ years' experience req. 
        "
2663,Finance Senior Manager,,100% Remote Job,US National,"
            Remote opportunity for a finance senior manager. Will own forecasting and reporting processes, manage close processes, lead projects, manage resources, and develop internal controls and validation. Need a bachelor's degree and three years of experience. 
        "
2664,Email Specialist - Manager,,Partial Remote Job,"San Jose, CA","
            Work partially from home and be responsible for planning and executing email campaigns, establish BKMS for email strategies, determine email KPIs and create and present reports weekly. An undergraduate degree and 3 - 5 yrs of experience is required.
        "
2665,Product Marketing Manager,,100% Remote Job,US National,"
            Full-time position. Remote. Will draft requirements, communicate metrics, maintain industry knowledge, drive discussions and participate in conversations. 3+ years' related product management experience required. 
        "
2666,Customer Support Specialist,,100% Remote Job,IN,"
            Remote position will provide support to customers, look for solutions to problems/propose improvements, coordinate reporting submissions for customers, implement compliance calendars, and be a liaison. Need one year of experience. 
        "
2667,Senior Compliance Analyst,,Option for Remote Job,"Ireland, or US National","
            F/T senior compliance analyst needed to partner with technical leads in analyzing findings and the development of remediation plans, procedures, and standards. College degree and 5 years of experience in compliance required. Remote option available.  
        "
2668,Enterprise Account Executive,,Partial Remote Job,"ME, NH, MA, RI, CT, NY, NJ, DE, MD, VA, NC, SC, GA, FL","
            Partial remote job with 50% travel for candidate who will sell an SaaS product to VP and C-level executives o enterprise companies. Experience selling SaaS to executive level decision makers within marketing and in the $200k+ ARR range is required.
        "
2669,"Associate, Media Strategy",,Option for Remote Job,"El Segundo, CA","
            Work with clients to plan and develop effective media strategy for customer outreach and business growth. Requires MS Office proficiency, strong writing skills, a bachelor's degree, and relevant experience. Full-time role with remote options. 
        "
2670,Infrastructure Engineer,,Option for Remote Job,US National,"
            The infrastructure engineer will work on platform development, build large-scale services &amp; systems, &amp; provide incident response. This job can be remote. Experience with production systems, or other exp. with constant risk &amp; reward tradeoffs, is expected.
        "
2671,Senior Global Pharmaceutical Marketing Manager,,Partial Remote Job,"United Kingdom, Germany, Switzerland, or US National","
            Partial remote job for candidate who will drive commercial accountability to grow the business, provide domain expertise to key customers, and define microbiology-focused marketing programs. BA/BS degree and global/regional team exp. req. 20-25% travel.
        "
2672,Clinical Contracts Analyst,,100% Remote Job,Germany,"
            Serve as a legal liaison to process clinical contract requests and support the management of and negotiate the process of site budgets. Must have a bachelor's degree and 1 year of experience. Full-time, remote position.
        "
2673,Instructional Designer,,100% Remote Job,US National,"
            Full-time, remote position. Responsibilities include creating engaging learning activities &amp; course content, identifying a target audience's training needs, analyzing trends &amp; applying best practices, and maintaining project documentation. M.A. required.
        "
2674,Digital Account Manager,,100% Remote Job,"Sydney, Australia","
            Remote F/T contract digital account manager will develop and service relationships to provide strategic and creative sales opportunities across our platform. 3 years of experience with professional-client relationship management and analytical skills req.
        "
2675,Senior Clinical Research Associate,,Partial Remote Job,Mexico,"
            Full-time position with partial remote work and travel. Will drive productivity, build relationships, perform verification, resolve problems and generate reports. Bachelor's degree and related experience required. 
        "
2676,Senior Clinical Research Associate,,Partial Remote Job,Germany,"
            Partial remote position will conduct qualification visits, site initiation visits, protect patients, review of the performance of the trial at designated site, develop patient recruitment strategies. BA degree required and experience. 
        "
2677,Senior Clinical Research Associate,,Partial Remote Job,Germany,"
            Full-time job, some remote work. Travel. Needs a bachelor's degree and substantial site management experience. Conduct qualification visits, site initiation visits, monitoring visits and termination visits for assigned clinical sites, build relationships.
        "
2678,.NET Developer,,100% Remote Job,"Austin, TX","
            F/T remote .NET developer needed to work in VB.NET and MS SQL to improve the application that our clients use today. 2+ years of .NET work experience, 1+ years of SQL work experience, and familiarity with WinForms development required. 
        "
2679,.NET Developer,,100% Remote Job,"Ann Arbor, MI","
            The .NET developer will focus on making improvements to the company's application. Must have at least two years' experience with .NET (VB/C#) and one or more years' experience with SQL. This is an entry-level role offering the opportunity to telecommute.
        "
2680,.NET Developer,,100% Remote Job,"Chicago, IL","
            Work in VB.NET and MS SQL to improve the application that helps clients manage their solid waste collection and processing businesses. Must have 2+ years of .NET (VB/C#) and some SQL work experience. WFH.
        "
2681,.NET Developer,,100% Remote Job,"Jacksonville, FL","
            Work in VB.NET and MS SQL to improve the application that solid waste business clients use. Must have 2+ years of .NET (VB/C#) work experience and 1+ years of SQL work experience. Full-time, remote position.
        "
2682,Technical Writer,,100% Remote Job,US National,"
            F/T remote technical writer needed to write user and service documentation for our sequencing solutions portfolio. 5+ years of experience as a technical writer and experience writing product user documentation required. Bachelor's degree highly preferred.
        "
2683,Product Manager,,100% Remote Job,US National,"
            Remote product manager needed to define and build our translation management system and associated services. Bachelor's degree, 4+ years of product management or engineering, technical knowledge, and ability to write simple scripts required.
        "
2684,Senior Marketing Operations Specialist,,100% Remote Job,US National,"
            Lead daily marketing operations to support established product campaigns. Evaluate and report campaign performance metrics. Requires Marketo &amp; MS Office proficiency, a bachelor's degree, and 3+ years' experience. Work from home full-time. 
        "
2685,"Art Director, Spanish Skills",,100% Remote Job,US National,"
            Full-time, freelance position. 100% remote. Responsibilities include designing print &amp; digital materials, leading design development, articulating concepts &amp; creative solutions, and managing reviews &amp; feedback cycles. Bachelor's degree required.
        "
2686,Engineering Manager,,100% Remote Job,Brazil,"
            Remote opportunity for an engineering manager. Will manage and mentor a team of software engineers, plan tasks, facilitate code reviews, build and maintain product and service ecosystem, and identify business requirements. Need five years of experience.
        "
2687,Security Engineer,,Remote - During Pandemic Job,"Irvine, CA, San Antonio, TX","
            Maintain security standards across security capabilities, lead and/or drive planning, collect requirements and designs, engineer security solutions and lead implementation strategy design. Remote work is allowed during the COVID-19 pandemic.
        "
2688,"Senior Software Engineer, Payments",,100% Remote Job,US National,"
            Design and develop microservices, software interfaces and/or system abstractions, build and execute a fault-tolerant global payments platform. At least five years of experience in functional programming is required. Fully remote job. 
        "
2689,Senior Product Manager,,Partial Remote Job,"Canada, Mexico, or US National","
            Full-time partial remote role will help develop core response workflow, develop and launch new products, and develop long-term product strategy. Travel 10%. BA/BS degree preferred. 3+ years' product management of software products experience required. 
        "
2690,Senior Platform Product Manager,,100% Remote Job,"New York City, NY","
            full-time, remote job. Needs five years' technical or product management experience and a bachelor's degree. Own and define the platform product strategy, define scope and prioritize roadmap, and will own and lead all aspects of an established agile team.
        "
2691,Principal Machine Learning Engineer,,100% Remote Job,US National,"
            Full-time position. Will provide guidance, meet modeling requirements, resolve problems, define models and identify dependencies. Bachelor's degree and 11+ years' related experience required. Work from home. 
        "
2692,Product Manager,,Option for Remote Job,"Delray Beach, FL","
            Full-time job, some remote work.Needs three years' hands on experience in product development and excellent project management skills. identify key growth and retention triggers, drive and optimize key traffic and revenue metrics and set schedules. 
        "
2693,Site Reliability Engineering Manager,,Remote - During Pandemic Job,"Los Angeles, CA","
            The manager will develop &amp; lead an engineering team, provide technical guidance, support cross-organizational initiatives, &amp; improve processes. Must have successful exp. in leading software &amp; systems engineers. This is a remote role until further notice.
        "
2694,Principal Software Engineer - Chatbot,,Remote - During Pandemic Job,"New Rochelle, NY","
            Full-time position. Will prioritize and measure performance, identify solutions, monitor progress and adhere to policies. Bachelor's degree and 5+ years' related experience required. Remote during pandemic. 
        "
2695,Robotic and Intelligent Automation Architect-Developer - UiPath,,Option for Remote Job,"McLean, VA","
            Developer needed for a flexible, remote option position requiring six+ years' RPA experience, a tech-focused BA/BS, three+ years' programming experience, and familiarity with Agile methods. Will write code, conduct tests, troubleshoot issues. 
        "
2696,Senior Regional Site Manager,,Partial Remote Job,"Denver, CO, Seattle, WA","
            Oversee the execution of clinical trials. Ensure regulatory adherence &amp; effective practices. Requires a BA/BS degree, MS Office proficiency, strong communication skills, and 5+ yrs' exp. Full-time, partly WFH role with regular travel &amp; site visits.
        "
2697,Software Developer In Test,,Option for Remote Job,"Austin, TX","
            Role with the option to work remotely for a software developer. Will define and execute test automation requirements, develop and implement test automation framework and solutions, analyze applications, and track defects. Need a BA/BS and four years' exp.
        "
2698,Staff Mixed-Methods Researcher,,100% Remote Job,US National,"
            Performs custom primary research, evaluates consumers' needs &amp; motivations, conducts design thinking workshops, &amp; develops research recommendations. Must have at least nine years' experience leading quantitative &amp; qualitative research. Remote position.
        "
2699,Product Manager,,100% Remote Job,US National,"
            Remote position for a product manager. Will perform and direct analysis, gather marketing intelligence, build business cases, make recommendations, develop a product line strategy, and analyze product performance. Need BA/BS and five years of experience. 
        "
2700,Senior Software Engineer,,Option for Remote Job,US National,"
            Full-time position with remote option. Will identify areas of improvement, interface with team, provide input, gather requirements and build features. Master's degree and related experience required. 
        "
2701,Customer Success Specialist,,Partial Remote Job,"Randolph, NJ","
            Provide intuitive client support and service delivery. Mitigate account issues. Requires a BA/BS degree, MS Office skills, and 5-7 years' related experience. PM certification is desired. Full-time, partly remote role with benefits &amp; some travel.
        "
2702,Senior Full Stack Engineer,,100% Remote Job,US National,"
            Tasks include working on a mobile communications platform, creating dashboards and web-based user interfaces, helping design new features, and collaborating on technical solutions. Must have significant exp. in front-end development. Remote-based role.
        "
2703,Staff Site Reliability Engineer,,Partial Remote Job,"San Francisco, CA","
            Full-time, partially remote position. Duties include working with product &amp; engineering teams to design, build, &amp; maintain systems &amp; software, writing software layers, scripts, &amp; deployment frameworks, and troubleshooting issues. Bachelor's required.
        "
2704,Senior Back-End Developer,,Option for Remote Job,"Stuttgart, Germany","
            Remote position will develop/implement new features/improvements for applications, refactor/maintain code base, write/maintain automated tests, provide input/review user documentation, and create release artifacts. BA degree preferred and experience. 
        "
2705,SSVF Mobile Case Manager,,Temporary Job,"San Francisco, CA","
            Full-time, temporary position. Will maintain documentation, adhere to requirements, participate in conference meetings and assist with benefits establishment. Bachelor's degree and 1+ years' related experience required.
        "
2706,Staff Software Engineer,,Option for Remote Job,"San Francisco, CA, or US National","
            Seeking candidate with BA/BS degree and seven years' exp. working for a tech-focused company to architect and implement new software component designs or enhancements to existing software products and ensure performance scalability. Optional remote job.
        "
2707,Senior Software Engineer - Cloud Services,,Option for Remote Job,"Denver, CO, Colorado Springs, CO","
            Cloud services senior software engineer needed for a full-time opportunity. This position offers option for remote work. Workflow automation experience and bachelor's degree in a related field, certification, or equivalent work history required.
        "
2708,Cloud Application Architect,,Partial Remote Job,US National,"
            Partial remote position will help customer architect scalable application solutions, work as a technical leader alongside customer business, development/infrastructure teams, and agile software development. BS degree required and five years of experience.
        "
2709,Sales Engineer,,Partial Remote Job,"Arlington, VA, Boston, MA","
            Partial remote position will partner with sales team as a technical advisor/advocate for the platform, solve customer challenges, participate in the pipeline, quarterly business reviews, act as a trusted advisor. BA/BS degree required and five years exp.
        "
2710,"Associate Consultant, Management Consulting",,Option for Remote Job,US National,"
            The associate consultant will help design advanced engagement analyses, create managerial hypotheses to solve clients' challenges, &amp; offer insights to clients. Must have two to four years' business exp. This remote position requires significant travel.
        "
2711,Software Engineer,,Option for Remote Job,CO,"
            Develop stories based on architectural and design requirements, create features/functions, and deliver well-documented code. Must have 2+ years' software engineering experience and a bachelor's degree or equivalent experience. Remote options.
        "
2712,Director of Design,,100% Remote Job,Work from Anywhere,"
            Help design and build the first all-in-one spend management platform that provides companies control and visibility into every dollar spent. Must have 10+ years of experience in a design role. Full-time, remote position.
        "
2713,Technical Support Engineer,,Flexible Schedule Job,"San Mateo, CA","
            Will orchestrate the deployment/upgrades, product deployment, configuration management, system monitoring, online diagnosis, provide on-premise service to enterprise customers, and facilitate upgrades. BA degree required and three years of experience.  
        "
2714,Technical Lab Developer,,Partial Remote Job,"Atlanta, GA, Austin, TX, Boston, MA, Chicago, IL, Cupertino, CA, Dallas, TX, Denver, CO, Detroit, MI, East Palo Alto, CA, Herndon, VA, New York, NY, Pittsburgh, PA, Portland, OR, San Francisco, CA, Santa Monica, CA, Seattle, WA, Tempe, AZ","
            Help develop highly technical courses with extensive hands-on labs (HOLs), and self-paced labs, that get customers deep into AWS technologies. Must have a bachelor's degree and 5+ years of experience in software development. WFH with travel.
        "
2715,Software Engineering Manager,,100% Remote Job,US National,"
            Work cross-functionally to design and build new software and enhancement features. Requires a bachelor's degree with 1-2+ yrs' experience or an equivalent combination. Work from home full-time with benefits &amp; and a flexible schedule.
        "
2716,Senior Technical Program Manager,,Option for Remote Job,US National,"
            Remote position will lead technical delivery of initiatives in support of platform, partner with stakeholders/lead execution from strategic objective to delivery, identify gaps/areas of risk, and build solutions. BA degree required and seven years of exp.
        "
2717,Site Reliability Engineer,,Remote - During Pandemic Job,"CA, GA, IL, KS, MD, MO, NY, NC, SC, PA, TX, WA","
            Ensure that services meet and exceed SLAs and are designed and built for scale and growth. Must have a bachelor's degree and experience developing, managing, and troubleshooting highly available distributed systems. WFH with flex hours.
        "
2718,Lead Software Engineer,,100% Remote Job,US National,"
            Responsibilities will include leading remote software engineers, producing code and automated tests, and deploying web apps. Must have experience working with React and Ruby on Rails or similar frameworks. This is a work-from-home job opportunity.
        "
2719,"Full Stack Engineer, Application Support",,100% Remote Job,US National,"
            Work on coding, automation, and improvement, with the rest of the time spent on troubleshooting, communication, and documentation. Must have a bachelor's degree and software engineering experience. Full-time, remote position.
        "
2720,"Customer Success Manager, Global Digital Solutions",,Partial Remote Job,MA,"
            Full-time, partially remote position. Responsibilities include assisting customers with having clear success criteria post-implementation, following up with customers to identify &amp; develop new requirements, and providing customer-facing training.
        "
2721,"Executive Director, Oncology Clinical Development",,Partial Remote Job,US National,"
            Full-time job, some remote work. Travel. Needs bachelor's degree and 10-15 yeas' experience in clinical development. Provide oversight for Oncology business Unit projects to ensure study launch, forecast, prioritize and direct staff to make deliverables.
        "
2722,Senior Software Engineer - Back-End,,100% Remote Job,US National,"
            Senior Software Engineer is needed for a remote role. He/She will write efficient and maintainable code to deploy large-scale web applications. Must be skilled in Ruby, React, and AngularJS. Prior relevant experience is required.
        "
2723,Project Director - Real World Solutions,,Option for Remote Job,"Canada, or US National","
            Full-time job, some remote work. Travel. Needs a bachelor's degree and seven years' experience in clinical research. Serve as a primary liaison with clients, lead and direct cross functional ream leaders and third party vendors, and manage deliverables.
        "
2724,Technical Product Marketing Manager,,Option for Remote Job,US National,"
            Work with marketing and creative teams, providing product expertise and technical details to facilitate effective marketing content. Requires extensive IT knowledge, a bachelor's degree, and 5-10+ yrs' experience. Full-time, remote optional position.
        "
2725,"Curriculum Designer, K-2, Spanish Skills",,100% Remote Job,US National,"
            Curriculum Designer is needed for a remote contract role. He/She will design and develop Spanish foundational skills instruction for grades K-2. Must be fluent in English/Spanish. BA degree and prior related experience required.
        "
2726,UX Designer,,100% Remote Job,US National,"
            Pursue opportunities to improve the experience of job seekers across the suite of products. Must have a bachelor's degree and 3+ years of experience working in product user experience design. Full-time, remote position.
        "
2727,Display - Paid Social Marketing Specialist,,100% Remote Job,"Minnetonka, MN, or US National","
            Full-time, remote candidate will support digital team members with the development of paid social campaign strategies, oversee the creative development process, and assess paid social processes. Must have 3+ years of marketing or communications exp. 
        "
2728,Technical Architect,,100% Remote Job,"San Mateo, CA","
            Remote job for candidate who will manage delivery of integration projects, manage and mentor integration engineers, and support the company sales team on integration related pre-sales activities. 3-5 years' systems delivery exp. and BA/BS degree req.
        "
2729,UI-UX Designer,,100% Remote Job,"Austin, TX","
            Establish and execute design standards and guidelines, maintain brand consistency with internal team members and communicate design ideas using user and process flows, story boards, wireframes and site maps. Remote - light travel is expected. 
        "
2730,Software Engineer - Unity,,100% Remote Job,"Canada, or US National","
            The software engineer will help develop applications, toys, &amp; mobile games based on augmented reality or other technologies. Exp. using Unity or working with other game frameworks is required. Must have a CS bachelor's degree or equivalent exp. WFH role.
        "
2731,Senior Software Engineer,,100% Remote Job,"Denver, CO","
            Remote job for candidate who will execute full lifecycle software development, write well designed and testable code, mentor developers in all aspects of agile development, and produce specifications. BS degree and 5 years' development exp. req.
        "
2732,Full Stack Engineer,,Remote - During Pandemic Job,"Philadelphia, PA","
            Full-time position. Will interpret requirements, test applications, build front-end functionality and handle database integration. Bachelor's degree and related experience required. Remote during pandemic. 
        "
2733,Technical Product Manager,,100% Remote Job,"Canada, Mexico, or US National","
            Drive projects to differentiate the customer experience and plan the next generation blockchain-based approach for user experience. Crypto and/or blockchain technical background is required. Full-time, remote position.
        "
2734,Multimedia Team Manager,,100% Remote Job,US National,"
            F/T remote multimedia team manager needed to lead a team to high-quality, high-service, and on-time product delivery. Bachelor's degree, experience leading a team, and 2-3 years multimedia product delivery experience required. Master's or PhD preferred. 
        "
2735,Clinical Research Associate II,,Partial Remote Job,Spain,"
            Monitor site and record keeping needs to support clinical research. Requires strong interpersonal skills, familiarity with clinical study guidelines, a bachelor's degree, and related experience. Full-time, partly remote with possible light travel. 
        "
2736,"Director, Platform Product Management",,100% Remote Job,"Saint Louis Park, MN","
            Full-time, remote candidate will oversee the platform strategy and roadmap, work with application product managers to develop a vision, and provide project management guidance. Must have seven plus years of product management experience.
        "
2737,Marketing Manager,,Partial Remote Job,US National,"
            Partial remote role will manage strategy, engagement, &amp; growth of healthcare education platform. Will develop strategic plan, collaborate with cross-functional product development teams, and manage digital marketing strategy. Travel 25%. BA/BS degree req.
        "
2738,Proposal Writer,,100% Remote Job,US National,"
            Build functional proposal processes, create responses, conduct regular review processes, and refine and implement the RFP management process. 2 - 3 years of RFP experience is needed along with a bachelor's degree. Remote. 
        "
2739,Offensive Security Researcher,,100% Remote Job,"Canada, or US National","
            Full-time, remote candidate will utilize research expertise to oversee complex, multi-disciplinary security research projects, identify security vulnerabilities, and create new compiler-based mitigations. Must have five plus years of experience.
        "
2740,Staff Engineer,,100% Remote Job,Work from Anywhere,"
            Do everything from conceptually coming up with the features to architecting the framework of how everything fits together. Must have experience building and shipping front-end and back-end features on a Rails, Merb, or Sinatra app. WFH.
        "
2741,Clinical Quality Auditor,,100% Remote Job,"Houston, TX","
            Must work collaboratively to identify service delivery trends, participate in meetings, &amp; contribute to audits. Requires experience w/chart auditing, treatment settings, &amp; regulatory board guidelines + bachelor's degree. Master's preferred. 100% remote. 
        "
2742,"Software Engineer, Backend",,100% Remote Job,"Providence, RI, Boston, MA","
            The remote software engineer will build back-end services, help with API &amp; architecture updates, implement features, &amp; provide user support. Requires familiarity with Ruby &amp;/or Ruby on Rails, a related four-year degree, &amp; the ability to write clean code.

        "
2743,Admissions Sales Development Representative,,100% Remote Job,US National,"
            Full-time position. Remote. Will give support, interface with staff, conduct evaluations and provide expertise. 1+ years' related experience required. Strong communication skills needed. Flexible schedule. 
        "
2744,"Senior Product Designer, Content Management System",,100% Remote Job,US National,"
            WFH job for candidate who will work on design initiatives that impact bigger systems and multiple product teams, build lasting organizational relationships, and mentor other product designers. Strong portfolio and three to five years' UX design exp. req.
        "
2745,Software Engineer - Messaging,,Option for Remote Job,Colombia,"
            Full-time job, remote option. Needs a bachelor's degree and five years' software development experience. build and operate teams services in a production environment, ensure quality by writing unit, integration, load tests, work with tech loads and team.
        "
2746,"Principal Software Engineer, Developer Experience",,Remote - During Pandemic Job,"Cambridge, MA","
            F/T principal software engineer needed to collaborate with engineers and managers to contribute to the technical direction and architectural vision. Bachelor's degree and software design &amp; development experience required. Remote during the pandemic.
        "
2747,API - Integration Architect,,Partial Remote Job,US National,"
            Participate and lead a tea of API developers, assist with strategy and solutions, Agile project delivery and document requirements. 2 - 5 years of experience in gateway software and Cassandra is needed. Home-based position w/ extensive travel req'd.
        "
2748,Direct Response Marketer - Copywriter,,100% Remote Job,US National,"
            Create marketing materials by collaborating with the marketing and design teams. Develop quarterly marketing strategies and track marketing efforts. Must be proficient in google apps and Clickfunnels. Full-time remote position.
        "
2749,Customer Success Architect,,Partial Remote Job,United Kingdom,"
            The customer success architect will serve as the main point of contact for enterprise customers, provide platform education, and create customer reviews. Must have customer support, customer success, or professional services experience. Partially remote.

        "
2750,Customer Success Architect,,Partial Remote Job,Spain,"
            Full-time, partially remote position. Responsibilities include developing &amp; presenting customer reviews to senior management, serving as a customer advocate, addressing customer issues, and educating accounts on best practices. Bachelor's required.
        "
2751,Threat Intelligence Solutions Architect,,Partial Remote Job,US National,"
            Full-time, partially remote position. Will provide feedback, communicate with customers, document best practices and drive requests. Bachelor's degree and 5+ years' related experience required. Travel. 
        "
2752,IT Senior Systems Engineer,,100% Remote Job,US National,"
            Full-time, remote position. Responsibilities include developing &amp; communicating database roadmaps &amp; strategies, developing business cases, ensuring that complex designs are properly vetted, and identifying enhancements to existing processes.
        "
2753,Solution Architect,,Partial Remote Job,"Brisbane, Australia","
            Work with development teams, sales staff, and prospective clients to identify and plan solutions. Requires strong English skills, a bachelor's degree, and 3+ yrs' experience. Full-time, partly remote position with benefits; some travel is required. 
        "
2754,Compliance Auditor,,100% Remote Job,US National,"
            Remote job for candidate who will monitor and audit company compliance with applicable Medicare Advantage regulations, prepare audit reports, and assist with responding to sales allegations. BA/BS degree and 3 years' Medicare Advantage exp. preferred.
        "
2755,"Medical Affairs and Education Specialist, Interventional Oncology",,Option for Remote Job,US National,"
            Full-time role with remote option. He/she will develop Medical Education annual plan. Will arrange Medical Education events, including speaker management and logistics. Maintain and develop learning modules &amp; online publication library. BA/BS degree req.
        "
2756,Technical Product Manager,,Remote - During Pandemic Job,"Pasadena, CA, Dallas, TX","
            Full-time role. Remote during the pandemic. He/she will manage product roadmap, develop initiatives, manage product life cycle, and address technical risks. 5+ years' technology experience and 3+ years' product management experience required. 
        "
2757,Account Manager,,Remote - During Pandemic Job,"London, United Kingdom","
            Generates leads in accounts, conducts demos &amp; presentations, creates strategic customer account plans, &amp; closes business. Must have three or more years' account management exp. involving SaaS solution sales. The position is remote during the pandemic.
        "
2758,"Senior Specialist, Digital Marketing",,Option for Remote Job,US National,"
            Full-time role with remote option. Candidate will develop and implement online advocacy campaigns and design fundraising campaigns. Develop and execute social media strategy and conduct fact research. BA degree and 4+ years' experience required. 
        "
