,company,description,location,salary,title
2506,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2507,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2508,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2509,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2510,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2511,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2512,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2513,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2514,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2515,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2516,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2517,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2518,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2519,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2520,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2521,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2522,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2523,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2524,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2525,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2526,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2527,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2528,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2529,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2530,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2531,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2532,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2533,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2534,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2535,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2536,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2537,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2538,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2539,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2540,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2541,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2542,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2543,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2544,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2545,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2546,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2547,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2548,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2549,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2550,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2551,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2552,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2553,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2554,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2555,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2556,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2557,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2558,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2559,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2560,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2561,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2562,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2563,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2564,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2565,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2566,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2567,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2568,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2569,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2570,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2571,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2572,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2573,"Fiserv, Inc.",Fiserv's Technology Analyst Program is an early career development program where candidates experience two one-year assignments in a core functional technology…,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2574,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. ONLY SERIOUS INQUIRIES WITH EXPERIENCE.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2575,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2576,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2577,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2578,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2579,Mission Lane,"A low-ego, respectful, data science team committed to solving practical problems together. To use distributed computing systems like Spark and Snowflake to…","Richmond, VA",,Principal Data Scientist (open to remote)
2580,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2581,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2582,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2583,Ampersand,"151 W 42nd St, New York, NY 10036, USA Req #198. Ampersand is an audience-based multi-screen TV advertising sales and technology company owned in partnership by…","New York, NY",,Machine Learning Engineer
2584,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2585,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2586,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2587,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2588,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2589,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2590,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2591,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2592,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2593,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2594,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2595,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2596,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2597,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2598,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2599,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2600,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2601,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2602,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2603,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2604,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2605,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2606,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2607,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2608,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2609,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2610,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2611,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2612,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2613,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2614,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2615,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2616,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2617,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2618,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2619,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2620,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2621,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2622,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2623,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2624,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2625,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2626,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2627,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2628,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2629,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2630,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2631,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2632,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2633,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2634,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2635,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2636,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2637,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2638,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2639,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2640,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2641,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2642,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2643,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2644,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2645,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2646,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2647,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2648,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2649,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2650,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2651,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2652,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2653,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2654,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2655,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2656,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2657,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2658,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2659,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2660,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2661,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2662,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2663,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2664,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2665,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2666,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
